appid,time,count_4xx,cout_404
16,2018-11-25 21:00:00,38,0
16,2018-11-25 22:00:00,32,0
16,2018-11-25 23:00:00,28,0
17,2018-11-25 15:00:00,1,0
17,2018-11-25 23:00:00,1,0
18,2018-11-25 13:00:00,1,0
18,2018-11-25 14:00:00,1,0
18,2018-11-25 21:00:00,3,0
19,2018-11-25 03:00:00,1,0
19,2018-11-25 07:00:00,1,0
19,2018-11-25 08:00:00,5,0
19,2018-11-25 09:00:00,1,0
19,2018-11-25 10:00:00,5,0
19,2018-11-25 11:00:00,2,0
19,2018-11-25 12:00:00,1,0
19,2018-11-25 13:00:00,5,0
19,2018-11-25 14:00:00,3,0
19,2018-11-25 17:00:00,4,0
19,2018-11-25 18:00:00,2,0
19,2018-11-25 19:00:00,2,0
19,2018-11-25 21:00:00,2,0
20,2018-11-25 23:00:00,2,0
21,2018-11-25 13:00:00,1,0
29,2018-11-25 00:00:00,1,0
29,2018-11-25 18:00:00,1,0
36,2018-11-25 00:00:00,611,0
36,2018-11-25 01:00:00,433,0
36,2018-11-25 02:00:00,253,0
36,2018-11-25 03:00:00,213,0
36,2018-11-25 04:00:00,182,0
36,2018-11-25 05:00:00,327,0
36,2018-11-25 06:00:00,565,0
36,2018-11-25 07:00:00,837,0
36,2018-11-25 08:00:00,880,0
36,2018-11-25 09:00:00,880,0
36,2018-11-25 10:00:00,1192,0
36,2018-11-25 11:00:00,1054,0
36,2018-11-25 12:00:00,1084,0
36,2018-11-25 13:00:00,1106,0
36,2018-11-25 14:00:00,1213,0
36,2018-11-25 15:00:00,1138,0
36,2018-11-25 17:00:00,1027,0
36,2018-11-25 18:00:00,1109,0
36,2018-11-25 19:00:00,1200,0
36,2018-11-25 20:00:00,1450,0
36,2018-11-25 21:00:00,1293,0
36,2018-11-25 22:00:00,1157,0
36,2018-11-25 23:00:00,931,0
46,2018-11-25 00:00:00,263,0
46,2018-11-25 01:00:00,85,0
46,2018-11-25 02:00:00,63,0
46,2018-11-25 03:00:00,54,0
46,2018-11-25 04:00:00,27,0
46,2018-11-25 05:00:00,119,0
46,2018-11-25 06:00:00,87,0
46,2018-11-25 07:00:00,110,0
46,2018-11-25 08:00:00,90,0
46,2018-11-25 09:00:00,146,0
46,2018-11-25 10:00:00,225,0
46,2018-11-25 11:00:00,138,0
46,2018-11-25 12:00:00,176,0
46,2018-11-25 13:00:00,196,0
46,2018-11-25 14:00:00,174,0
46,2018-11-25 15:00:00,272,0
46,2018-11-25 17:00:00,199,0
46,2018-11-25 18:00:00,185,0
46,2018-11-25 19:00:00,214,0
46,2018-11-25 20:00:00,286,0
46,2018-11-25 21:00:00,259,0
46,2018-11-25 22:00:00,284,0
46,2018-11-25 23:00:00,219,0
56,2018-11-25 00:00:00,3,0
56,2018-11-25 03:00:00,3,0
56,2018-11-25 05:00:00,2,0
56,2018-11-25 06:00:00,3,0
56,2018-11-25 07:00:00,6,0
56,2018-11-25 08:00:00,3,0
56,2018-11-25 09:00:00,2,0
56,2018-11-25 10:00:00,1,0
56,2018-11-25 12:00:00,4,0
56,2018-11-25 14:00:00,1,0
56,2018-11-25 15:00:00,1,0
56,2018-11-25 17:00:00,1,0
56,2018-11-25 18:00:00,2,0
56,2018-11-25 19:00:00,2,0
56,2018-11-25 21:00:00,2,0
57,2018-11-25 02:00:00,6,0
59,2018-11-25 00:00:00,299967,0
59,2018-11-25 01:00:00,187330,0
59,2018-11-25 02:00:00,109503,0
59,2018-11-25 03:00:00,69690,0
59,2018-11-25 04:00:00,53024,0
59,2018-11-25 05:00:00,62243,0
59,2018-11-25 06:00:00,101275,0
59,2018-11-25 07:00:00,170552,0
59,2018-11-25 08:00:00,229315,0
59,2018-11-25 09:00:00,265915,0
59,2018-11-25 10:00:00,287997,0
59,2018-11-25 11:00:00,281057,0
59,2018-11-25 12:00:00,287972,0
59,2018-11-25 13:00:00,308403,0
59,2018-11-25 14:00:00,307809,0
59,2018-11-25 15:00:00,302505,0
59,2018-11-25 17:00:00,252122,0
59,2018-11-25 18:00:00,244246,0
59,2018-11-25 19:00:00,281864,0
59,2018-11-25 20:00:00,324394,0
59,2018-11-25 21:00:00,363776,0
59,2018-11-25 22:00:00,395989,0
59,2018-11-25 23:00:00,355154,0
66,2018-11-25 00:00:00,124,0
66,2018-11-25 01:00:00,5,0
66,2018-11-25 02:00:00,7,0
66,2018-11-25 03:00:00,1,0
66,2018-11-25 05:00:00,5,0
66,2018-11-25 06:00:00,2,0
66,2018-11-25 07:00:00,5,0
66,2018-11-25 08:00:00,16,0
66,2018-11-25 09:00:00,17,0
66,2018-11-25 10:00:00,15,0
66,2018-11-25 12:00:00,11,0
66,2018-11-25 13:00:00,5,0
66,2018-11-25 15:00:00,15,0
66,2018-11-25 17:00:00,5,0
66,2018-11-25 18:00:00,15,0
66,2018-11-25 19:00:00,12,0
66,2018-11-25 22:00:00,5,0
66,2018-11-25 23:00:00,90,0
76,2018-11-25 00:00:00,11,0
76,2018-11-25 01:00:00,29,0
76,2018-11-25 02:00:00,8,0
76,2018-11-25 03:00:00,18,0
76,2018-11-25 04:00:00,14,0
76,2018-11-25 05:00:00,3,0
76,2018-11-25 06:00:00,8,0
76,2018-11-25 07:00:00,14,0
76,2018-11-25 08:00:00,38,0
76,2018-11-25 09:00:00,21,0
76,2018-11-25 10:00:00,30,0
76,2018-11-25 11:00:00,43,0
76,2018-11-25 12:00:00,27,0
76,2018-11-25 13:00:00,34,0
76,2018-11-25 14:00:00,65,0
76,2018-11-25 15:00:00,49,0
76,2018-11-25 17:00:00,22,0
76,2018-11-25 18:00:00,61,0
76,2018-11-25 19:00:00,30,0
76,2018-11-25 20:00:00,68,0
76,2018-11-25 21:00:00,36,0
76,2018-11-25 22:00:00,58,0
76,2018-11-25 23:00:00,53,0
96,2018-11-25 00:00:00,63,0
96,2018-11-25 01:00:00,19,0
96,2018-11-25 02:00:00,17,0
96,2018-11-25 03:00:00,18,0
96,2018-11-25 04:00:00,3,0
96,2018-11-25 05:00:00,1,0
96,2018-11-25 06:00:00,51,0
96,2018-11-25 07:00:00,20,0
96,2018-11-25 08:00:00,4,0
96,2018-11-25 09:00:00,3,0
96,2018-11-25 10:00:00,33,0
96,2018-11-25 11:00:00,14,0
96,2018-11-25 12:00:00,29,0
96,2018-11-25 13:00:00,12,0
96,2018-11-25 14:00:00,50,0
96,2018-11-25 15:00:00,26,0
96,2018-11-25 17:00:00,42,0
96,2018-11-25 18:00:00,20,0
96,2018-11-25 19:00:00,23,0
96,2018-11-25 20:00:00,17,0
96,2018-11-25 21:00:00,37,0
96,2018-11-25 22:00:00,20,0
96,2018-11-25 23:00:00,44,0
106,2018-11-25 00:00:00,2199,0
106,2018-11-25 01:00:00,1913,0
106,2018-11-25 02:00:00,842,0
106,2018-11-25 03:00:00,440,0
106,2018-11-25 04:00:00,318,0
106,2018-11-25 05:00:00,253,0
106,2018-11-25 06:00:00,253,0
106,2018-11-25 07:00:00,636,0
106,2018-11-25 08:00:00,947,0
106,2018-11-25 09:00:00,985,0
106,2018-11-25 10:00:00,1259,0
106,2018-11-25 11:00:00,849,0
106,2018-11-25 12:00:00,1112,0
106,2018-11-25 13:00:00,1070,0
106,2018-11-25 14:00:00,1187,0
106,2018-11-25 15:00:00,1105,0
106,2018-11-25 17:00:00,988,0
106,2018-11-25 18:00:00,716,0
106,2018-11-25 19:00:00,837,0
106,2018-11-25 20:00:00,969,0
106,2018-11-25 21:00:00,1128,0
106,2018-11-25 22:00:00,1735,0
106,2018-11-25 23:00:00,1616,0
122,2018-11-25 00:00:00,4104,0
122,2018-11-25 01:00:00,2593,0
122,2018-11-25 02:00:00,1588,0
122,2018-11-25 03:00:00,885,0
122,2018-11-25 04:00:00,809,0
122,2018-11-25 05:00:00,1027,0
122,2018-11-25 06:00:00,1417,0
122,2018-11-25 07:00:00,2108,0
122,2018-11-25 08:00:00,2279,0
122,2018-11-25 09:00:00,2519,0
122,2018-11-25 10:00:00,2989,0
122,2018-11-25 11:00:00,2800,0
122,2018-11-25 12:00:00,3042,0
122,2018-11-25 13:00:00,4074,0
122,2018-11-25 14:00:00,4171,0
122,2018-11-25 15:00:00,3737,0
122,2018-11-25 17:00:00,2695,0
122,2018-11-25 18:00:00,2720,0
122,2018-11-25 19:00:00,2836,0
122,2018-11-25 20:00:00,3607,0
122,2018-11-25 21:00:00,4827,0
122,2018-11-25 22:00:00,5122,0
122,2018-11-25 23:00:00,4542,0
123,2018-11-25 02:00:00,1,0
123,2018-11-25 13:00:00,1,0
123,2018-11-25 17:00:00,1,0
142,2018-11-25 00:00:00,2,0
142,2018-11-25 01:00:00,2,0
142,2018-11-25 02:00:00,2,0
142,2018-11-25 06:00:00,1,0
142,2018-11-25 07:00:00,2,0
142,2018-11-25 08:00:00,9,0
142,2018-11-25 09:00:00,15,0
142,2018-11-25 10:00:00,22,0
142,2018-11-25 11:00:00,26,0
142,2018-11-25 12:00:00,17,0
142,2018-11-25 13:00:00,19,0
142,2018-11-25 14:00:00,19,0
142,2018-11-25 15:00:00,30,0
142,2018-11-25 17:00:00,16,0
142,2018-11-25 18:00:00,13,0
142,2018-11-25 19:00:00,15,0
142,2018-11-25 20:00:00,13,0
142,2018-11-25 21:00:00,9,0
142,2018-11-25 22:00:00,7,0
142,2018-11-25 23:00:00,4,0
222,2018-11-25 01:00:00,1,0
222,2018-11-25 02:00:00,1,0
222,2018-11-25 04:00:00,1,0
222,2018-11-25 06:00:00,2,0
222,2018-11-25 08:00:00,1,0
222,2018-11-25 09:00:00,8,0
222,2018-11-25 10:00:00,2,0
222,2018-11-25 11:00:00,4,0
222,2018-11-25 12:00:00,1,0
222,2018-11-25 13:00:00,8,0
222,2018-11-25 14:00:00,4,0
222,2018-11-25 15:00:00,5,0
222,2018-11-25 17:00:00,2,0
222,2018-11-25 18:00:00,3,0
222,2018-11-25 19:00:00,7,0
222,2018-11-25 20:00:00,6,0
222,2018-11-25 21:00:00,9,0
222,2018-11-25 22:00:00,4,0
222,2018-11-25 23:00:00,1,0
234,2018-11-25 15:00:00,1,0
245,2018-11-25 05:00:00,2,0
256,2018-11-25 21:00:00,1,0
280,2018-11-25 19:00:00,1,0
501,2018-11-25 00:00:00,2,0
501,2018-11-25 01:00:00,1,0
501,2018-11-25 06:00:00,1,0
501,2018-11-25 08:00:00,2,0
501,2018-11-25 11:00:00,1,0
502,2018-11-25 06:00:00,1,0
1016,2018-11-25 07:00:00,1,0
4001,2018-11-25 00:00:00,4,0
4001,2018-11-25 01:00:00,1,0
4001,2018-11-25 02:00:00,2,0
4001,2018-11-25 03:00:00,6,0
4001,2018-11-25 04:00:00,1,0
4001,2018-11-25 05:00:00,2,0
4001,2018-11-25 06:00:00,9,0
4001,2018-11-25 07:00:00,6,0
4001,2018-11-25 08:00:00,9,0
4001,2018-11-25 09:00:00,37,0
4001,2018-11-25 10:00:00,19,0
4001,2018-11-25 11:00:00,16,0
4001,2018-11-25 12:00:00,11,0
4001,2018-11-25 13:00:00,15,0
4001,2018-11-25 14:00:00,25,0
4001,2018-11-25 15:00:00,20,0
4001,2018-11-25 17:00:00,25,0
4001,2018-11-25 18:00:00,20,0
4001,2018-11-25 19:00:00,9,0
4001,2018-11-25 20:00:00,32,0
4001,2018-11-25 21:00:00,19,0
4001,2018-11-25 22:00:00,7,0
4001,2018-11-25 23:00:00,37,0
4002,2018-11-25 00:00:00,8,0
4002,2018-11-25 01:00:00,24,0
4002,2018-11-25 02:00:00,24,0
4002,2018-11-25 04:00:00,8,0
4002,2018-11-25 06:00:00,32,0
4002,2018-11-25 07:00:00,16,0
4002,2018-11-25 08:00:00,16,0
4002,2018-11-25 09:00:00,10,0
4002,2018-11-25 10:00:00,25,0
4002,2018-11-25 11:00:00,8,0
4002,2018-11-25 12:00:00,8,0
4002,2018-11-25 13:00:00,40,0
4002,2018-11-25 14:00:00,40,0
4002,2018-11-25 15:00:00,24,0
4002,2018-11-25 17:00:00,16,0
4002,2018-11-25 18:00:00,32,0
4002,2018-11-25 19:00:00,33,0
4002,2018-11-25 20:00:00,40,0
4002,2018-11-25 21:00:00,43,0
4002,2018-11-25 22:00:00,19,0
4002,2018-11-25 23:00:00,24,0
4096,2018-11-25 01:00:00,2,0
4096,2018-11-25 03:00:00,2,0
4096,2018-11-25 04:00:00,2,0
4096,2018-11-25 05:00:00,1,0
4096,2018-11-25 06:00:00,1,0
4096,2018-11-25 12:00:00,1,0
4096,2018-11-25 13:00:00,2,0
4096,2018-11-25 14:00:00,1,0
4096,2018-11-25 15:00:00,1,0
4096,2018-11-25 17:00:00,1,0
4096,2018-11-25 18:00:00,2,0
4096,2018-11-25 19:00:00,2,0
4096,2018-11-25 20:00:00,2,0
4096,2018-11-25 21:00:00,1,0
4096,2018-11-25 22:00:00,2,0
4096,2018-11-25 23:00:00,1,0
4098,2018-11-25 10:00:00,1,0
4098,2018-11-25 17:00:00,1,0
4098,2018-11-25 20:00:00,1,0
4099,2018-11-25 00:00:00,1,0
4099,2018-11-25 01:00:00,1,0
4099,2018-11-25 08:00:00,1,0
4099,2018-11-25 09:00:00,3,0
4099,2018-11-25 10:00:00,2,0
4099,2018-11-25 11:00:00,11,0
4099,2018-11-25 12:00:00,1,0
4099,2018-11-25 13:00:00,3,0
4099,2018-11-25 14:00:00,2,0
4099,2018-11-25 15:00:00,3,0
4099,2018-11-25 17:00:00,1,0
4099,2018-11-25 19:00:00,2,0
4099,2018-11-25 20:00:00,2,0
4099,2018-11-25 21:00:00,4,0
4099,2018-11-25 22:00:00,2,0
4099,2018-11-25 23:00:00,2,0
4115,2018-11-25 10:00:00,1,0
4115,2018-11-25 18:00:00,1,0
4115,2018-11-25 21:00:00,2,0
6910,2018-11-25 11:00:00,1,0
100202,2018-11-25 07:00:00,1,0
100742,2018-11-25 21:00:00,1,0
200019,2018-11-25 14:00:00,1,0
200019,2018-11-25 17:00:00,1,0
200019,2018-11-25 21:00:00,1,0
200492,2018-11-25 12:00:00,2,0
200492,2018-11-25 13:00:00,1,0
200492,2018-11-25 17:00:00,4,0
200492,2018-11-25 21:00:00,10,0
200500,2018-11-25 00:00:00,13,0
200500,2018-11-25 02:00:00,4,0
200500,2018-11-25 03:00:00,1,0
200500,2018-11-25 04:00:00,4,0
200500,2018-11-25 05:00:00,1,0
200500,2018-11-25 06:00:00,2,0
200500,2018-11-25 07:00:00,8,0
200500,2018-11-25 08:00:00,5,0
200500,2018-11-25 09:00:00,6,0
200500,2018-11-25 10:00:00,7,0
200500,2018-11-25 11:00:00,6,0
200500,2018-11-25 12:00:00,2,0
200500,2018-11-25 13:00:00,27,0
200500,2018-11-25 14:00:00,34,0
200500,2018-11-25 15:00:00,42,0
200500,2018-11-25 17:00:00,31,0
200500,2018-11-25 18:00:00,27,0
200500,2018-11-25 19:00:00,33,0
200500,2018-11-25 20:00:00,6,0
200500,2018-11-25 21:00:00,6,0
200500,2018-11-25 22:00:00,6,0
200500,2018-11-25 23:00:00,3,0
200504,2018-11-25 00:00:00,27,0
200504,2018-11-25 01:00:00,27,0
200504,2018-11-25 02:00:00,10,0
200504,2018-11-25 03:00:00,5,0
200504,2018-11-25 04:00:00,6,0
200504,2018-11-25 05:00:00,6,0
200504,2018-11-25 06:00:00,4,0
200504,2018-11-25 07:00:00,11,0
200504,2018-11-25 08:00:00,35,0
200504,2018-11-25 09:00:00,56,0
200504,2018-11-25 10:00:00,59,0
200504,2018-11-25 11:00:00,67,0
200504,2018-11-25 12:00:00,78,0
200504,2018-11-25 13:00:00,79,0
200504,2018-11-25 14:00:00,92,0
200504,2018-11-25 15:00:00,81,0
200504,2018-11-25 17:00:00,97,0
200504,2018-11-25 18:00:00,102,0
200504,2018-11-25 19:00:00,97,0
200504,2018-11-25 20:00:00,106,0
200504,2018-11-25 21:00:00,84,0
200504,2018-11-25 22:00:00,75,0
200504,2018-11-25 23:00:00,35,0
200524,2018-11-25 00:00:00,522788,0
200524,2018-11-25 01:00:00,427307,0
200524,2018-11-25 02:00:00,369417,0
200524,2018-11-25 03:00:00,340750,0
200524,2018-11-25 04:00:00,330000,0
200524,2018-11-25 05:00:00,338161,0
200524,2018-11-25 06:00:00,344320,0
200524,2018-11-25 07:00:00,441656,0
200524,2018-11-25 08:00:00,600464,0
200524,2018-11-25 09:00:00,867446,0
200524,2018-11-25 10:00:00,980240,0
200524,2018-11-25 11:00:00,1010426,0
200524,2018-11-25 12:00:00,936188,0
200524,2018-11-25 13:00:00,1002972,0
200524,2018-11-25 14:00:00,1043086,0
200524,2018-11-25 15:00:00,1080412,0
200524,2018-11-25 17:00:00,997622,0
200524,2018-11-25 18:00:00,938659,0
200524,2018-11-25 19:00:00,970139,0
