domain,time,count_4xx,cout_404
wap.v.sogou.com,2018-11-25 12:00:00,60,2
wap.v.sogou.com,2018-11-25 13:00:00,86,4
wap.v.sogou.com,2018-11-25 14:00:00,90,4
wap.v.sogou.com,2018-11-25 15:00:00,92,2
wap.v.sogou.com,2018-11-25 17:00:00,44,2
wap.v.sogou.com,2018-11-25 18:00:00,40,2
wap.v.sogou.com,2018-11-25 19:00:00,65,1
wap.v.sogou.com,2018-11-25 20:00:00,62,7
wap.v.sogou.com,2018-11-25 21:00:00,103,6
wap.v.sogou.com,2018-11-25 22:00:00,188,10
wap.v.sogou.com,2018-11-25 23:00:00,101,6
wap.v.sogou.com,2018-11-25 04:00:00,19,0
img02.store.sogou.com,2018-11-25 00:00:00,4,4
img02.store.sogou.com,2018-11-25 08:00:00,2,2
img02.store.sogou.com,2018-11-25 12:00:00,2,2
img02.store.sogou.com,2018-11-25 13:00:00,1,1
img02.store.sogou.com,2018-11-25 14:00:00,1,1
img02.store.sogou.com,2018-11-25 17:00:00,2,2
img02.store.sogou.com,2018-11-25 23:00:00,1,1
wap.sogou.com,2018-11-25 00:00:00,1204869,129082
wap.sogou.com,2018-11-25 01:00:00,733469,78436
wap.sogou.com,2018-11-25 02:00:00,445882,44387
wap.sogou.com,2018-11-25 03:00:00,308920,28213
wap.sogou.com,2018-11-25 04:00:00,278255,22431
wap.sogou.com,2018-11-25 05:00:00,371254,28174
wap.sogou.com,2018-11-25 06:00:00,638981,47784
wap.sogou.com,2018-11-25 07:00:00,990508,81321
wap.sogou.com,2018-11-25 08:00:00,1242322,107051
wap.sogou.com,2018-11-25 09:00:00,1441885,121882
wap.sogou.com,2018-11-25 10:00:00,1585527,131368
wap.sogou.com,2018-11-25 11:00:00,1600510,129890
wap.sogou.com,2018-11-25 12:00:00,1636890,134527
wap.sogou.com,2018-11-25 13:00:00,1675405,139172
wap.sogou.com,2018-11-25 14:00:00,1655102,136978
wap.sogou.com,2018-11-25 15:00:00,1636484,136135
wap.sogou.com,2018-11-25 17:00:00,1487704,115143
wap.sogou.com,2018-11-25 18:00:00,1576632,112383
wap.sogou.com,2018-11-25 19:00:00,1806500,129368
wap.sogou.com,2018-11-25 20:00:00,1935886,146221
wap.sogou.com,2018-11-25 21:00:00,1987184,160258
wap.sogou.com,2018-11-25 22:00:00,1853547,174376
wap.sogou.com,2018-11-25 23:00:00,1426096,152528
tv.sogou.com,2018-11-25 00:00:00,87480,167
tv.sogou.com,2018-11-25 01:00:00,58514,124
tv.sogou.com,2018-11-25 02:00:00,35319,90
tv.sogou.com,2018-11-25 03:00:00,22274,74
tv.sogou.com,2018-11-25 04:00:00,16800,65
tv.sogou.com,2018-11-25 05:00:00,17347,51
tv.sogou.com,2018-11-25 06:00:00,23712,39
tv.sogou.com,2018-11-25 07:00:00,35093,53
tv.sogou.com,2018-11-25 08:00:00,44537,106
tv.sogou.com,2018-11-25 09:00:00,54366,171
tv.sogou.com,2018-11-25 10:00:00,60058,255
tv.sogou.com,2018-11-25 11:00:00,58569,291
tv.sogou.com,2018-11-25 12:00:00,62641,269
tv.sogou.com,2018-11-25 13:00:00,72362,311
tv.sogou.com,2018-11-25 14:00:00,77014,371
tv.sogou.com,2018-11-25 15:00:00,72274,336
tv.sogou.com,2018-11-25 17:00:00,44676,272
tv.sogou.com,2018-11-25 18:00:00,44195,284
tv.sogou.com,2018-11-25 19:00:00,53597,290
tv.sogou.com,2018-11-25 20:00:00,61743,338
tv.sogou.com,2018-11-25 21:00:00,70694,286
tv.sogou.com,2018-11-25 22:00:00,76530,244
tv.sogou.com,2018-11-25 23:00:00,68969,171
kan.sogou.com,2018-11-25 00:00:00,91635,116
kan.sogou.com,2018-11-25 01:00:00,57459,33
kan.sogou.com,2018-11-25 02:00:00,35605,9
kan.sogou.com,2018-11-25 03:00:00,28892,27
kan.sogou.com,2018-11-25 05:00:00,29449,16
kan.sogou.com,2018-11-25 06:00:00,46654,16
kan.sogou.com,2018-11-25 07:00:00,89420,14
kan.sogou.com,2018-11-25 08:00:00,165962,10
kan.sogou.com,2018-11-25 09:00:00,226359,10
kan.sogou.com,2018-11-25 10:00:00,252671,21
kan.sogou.com,2018-11-25 11:00:00,265463,4
kan.sogou.com,2018-11-25 12:00:00,273706,27
kan.sogou.com,2018-11-25 13:00:00,273378,5
kan.sogou.com,2018-11-25 14:00:00,285552,42
kan.sogou.com,2018-11-25 15:00:00,297289,14
kan.sogou.com,2018-11-25 17:00:00,320503,6
kan.sogou.com,2018-11-25 18:00:00,351219,16
kan.sogou.com,2018-11-25 19:00:00,371635,17
kan.sogou.com,2018-11-25 20:00:00,351058,11
kan.sogou.com,2018-11-25 21:00:00,267740,37
kan.sogou.com,2018-11-25 22:00:00,175385,49
kan.sogou.com,2018-11-25 23:00:00,113945,49
kan.sogou.com,2018-11-25 04:00:00,24408,0
wapv.sogou.com,2018-11-25 00:00:00,1955,336
wapv.sogou.com,2018-11-25 01:00:00,1290,288
wapv.sogou.com,2018-11-25 02:00:00,820,135
wapv.sogou.com,2018-11-25 03:00:00,567,142
wapv.sogou.com,2018-11-25 04:00:00,395,109
wapv.sogou.com,2018-11-25 05:00:00,495,77
wapv.sogou.com,2018-11-25 06:00:00,574,83
wapv.sogou.com,2018-11-25 07:00:00,737,120
wapv.sogou.com,2018-11-25 08:00:00,1052,226
wapv.sogou.com,2018-11-25 09:00:00,1302,180
wapv.sogou.com,2018-11-25 10:00:00,1423,163
wapv.sogou.com,2018-11-25 11:00:00,1413,164
wapv.sogou.com,2018-11-25 12:00:00,1513,180
wapv.sogou.com,2018-11-25 13:00:00,1722,212
wapv.sogou.com,2018-11-25 14:00:00,1780,326
wapv.sogou.com,2018-11-25 15:00:00,1775,224
wapv.sogou.com,2018-11-25 17:00:00,1305,122
wapv.sogou.com,2018-11-25 18:00:00,1549,118
wapv.sogou.com,2018-11-25 19:00:00,1996,133
wapv.sogou.com,2018-11-25 20:00:00,2248,181
wapv.sogou.com,2018-11-25 21:00:00,2367,221
wapv.sogou.com,2018-11-25 22:00:00,4204,326
wapv.sogou.com,2018-11-25 23:00:00,2189,387
m.sogou.com,2018-11-25 00:00:00,1726498,143904
m.sogou.com,2018-11-25 01:00:00,1113520,91740
m.sogou.com,2018-11-25 02:00:00,689894,54879
m.sogou.com,2018-11-25 03:00:00,467700,34123
m.sogou.com,2018-11-25 04:00:00,503855,25714
m.sogou.com,2018-11-25 05:00:00,458252,28917
m.sogou.com,2018-11-25 06:00:00,699947,45354
m.sogou.com,2018-11-25 07:00:00,1057145,74520
m.sogou.com,2018-11-25 08:00:00,1369615,98422
m.sogou.com,2018-11-25 09:00:00,1598351,113442
m.sogou.com,2018-11-25 10:00:00,1730279,123285
m.sogou.com,2018-11-25 11:00:00,1728673,119288
m.sogou.com,2018-11-25 12:00:00,1754072,122355
m.sogou.com,2018-11-25 13:00:00,1898857,134767
m.sogou.com,2018-11-25 14:00:00,1903998,134348
m.sogou.com,2018-11-25 15:00:00,1887618,131232
m.sogou.com,2018-11-25 17:00:00,1592340,107161
m.sogou.com,2018-11-25 18:00:00,1630667,103615
m.sogou.com,2018-11-25 19:00:00,1882457,119995
m.sogou.com,2018-11-25 20:00:00,2064064,141117
m.sogou.com,2018-11-25 21:00:00,2233192,158986
m.sogou.com,2018-11-25 22:00:00,2285836,180668
m.sogou.com,2018-11-25 23:00:00,1972158,167942
video.sogou.com,2018-11-25 00:00:00,49,34
video.sogou.com,2018-11-25 01:00:00,25,20
video.sogou.com,2018-11-25 02:00:00,24,21
video.sogou.com,2018-11-25 03:00:00,3,3
video.sogou.com,2018-11-25 04:00:00,3,2
video.sogou.com,2018-11-25 06:00:00,16,8
video.sogou.com,2018-11-25 07:00:00,14,8
video.sogou.com,2018-11-25 08:00:00,25,9
video.sogou.com,2018-11-25 09:00:00,22,5
video.sogou.com,2018-11-25 10:00:00,20,8
video.sogou.com,2018-11-25 11:00:00,39,33
video.sogou.com,2018-11-25 12:00:00,48,35
video.sogou.com,2018-11-25 13:00:00,33,20
video.sogou.com,2018-11-25 14:00:00,40,18
video.sogou.com,2018-11-25 15:00:00,53,37
video.sogou.com,2018-11-25 17:00:00,21,10
video.sogou.com,2018-11-25 19:00:00,36,6
video.sogou.com,2018-11-25 20:00:00,33,4
video.sogou.com,2018-11-25 21:00:00,37,21
video.sogou.com,2018-11-25 22:00:00,35,22
video.sogou.com,2018-11-25 23:00:00,29,17
video.sogou.com,2018-11-25 05:00:00,7,3
video.sogou.com,2018-11-25 18:00:00,15,2
